"Lender name","University","Country / Main Campus","Criteria","Source","Courses","_RowNumber","_UniversityOriginal","_CountryOriginal","_UniversityNorm","_CountryNormOriginal","_CountryNormProposed","_ChangedUniversity","_ChangedCountry","_CountryConfidence","_CountryBreakdown"
"Bank of India","Southern Methodist University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","3640","Southern Methodist University","United States of America","southern methodist university","united states of america","united states of america","False","False","high","united states of america:5"
"Leapfinance","Southern Methodist University","United States of America","Listed","https://leapfinance.com/courses","Any course","3641","Southern Methodist University","United States of America","southern methodist university","united states of america","united states of america","False","False","high","united states of america:5"
"Mpower","Southern Methodist University","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM","3642","Southern Methodist University","United States of America","southern methodist university","united states of america","united states of america","False","False","high","united states of america:5"
"Prodigy","Southern Methodist University","United States of America","Listed","https://prodigyfinance.com/where-can-i-study/","Business & Management; Computer Science & IT; Engineering & Technology; Natural Sciences","3643","Southern Methodist University","United States of America","southern methodist university","united states of america","united states of america","False","False","high","united states of america:5"
"Bank of India","Southern University and A&M College","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","3644","Southern University and A&M College","United States of America","southern university and a and m college","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Southern University of Science and Technology (SUSTech)","China","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","3645","Southern University of Science and Technology (SUSTech)","China","southern university of science and technology sustech","china","china","False","False","high","china:3"
"Indian Overseas Bank","Southern University of Science and Technology (SUSTech)","China","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","3646","Southern University of Science and Technology (SUSTech)","China","southern university of science and technology sustech","china","china","False","False","high","china:3"
"Yes Bank","Southern University of Science and Technology (SUSTech)","China","Top 300-500 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","3647","Southern University of Science and Technology (SUSTech)","China","southern university of science and technology sustech","china","china","False","False","high","china:3"
"Bank of India","Southwest Jiaotong University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","3648","Southwest Jiaotong University","United States of America","southwest jiaotong university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Southwest Petroleum University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","3649","Southwest Petroleum University","United States of America","southwest petroleum university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Southwest University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","3650","Southwest University","United States of America","southwest university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Southwest University for Nationalities","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","3651","Southwest University for Nationalities","United States of America","southwest university for nationalities","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Southwest University of Science & Technology","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","3652","Southwest University of Science & Technology","United States of America","southwest university of science and technology","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Southwestern University of Finance & Economics","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","3653","Southwestern University of Finance & Economics","United States of America","southwestern university of finance and economics","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Spelman College","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","3654","Spelman College","United States of America","spelman college","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Sree Chitra Tirunal Institute for Medical Sciences and Technology","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","3655","Sree Chitra Tirunal Institute for Medical Sciences and Technology","United States of America","sree chitra tirunal institute for medical sciences and technology","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Srinakharinwirot University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","3656","Srinakharinwirot University","United States of America","srinakharinwirot university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","SRM Institute of Science and Technology","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","3657","SRM Institute of Science and Technology","United States of America","srm institute of science and technology","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Ss Cyril and Methodius University Skopje","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","3658","Ss Cyril and Methodius University Skopje","United States of America","ss cyril and methodius university skopje","united states of america","united states of america","False","False","high","united states of america:1"
"Mpower","St John s University-New York","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM","3659","St John s University-New York","United States of America","st john s university new york","united states of america","united states of america","False","False","high","united states of america:1"
