"UniversityNorm","CanonicalUniversity","VariantsCount","TotalRows","Variants"
"old dominion university","Old Dominion University","4","4","Old Dominion University:4"
"tampere university","Tampere University","3","3","Tampere University:3"
"universidad pontificia comillas","Universidad Pontificia Comillas","3","3","Universidad Pontificia Comillas:3"
"universidad eafit","Universidad EAFIT","3","3","Universidad EAFIT:3"
"universidad espiritu santo uees","Universidad Espiritu Santo (UEES)","3","3","Universidad Espiritu Santo (UEES):3"
"tashkent state technical university","Tashkent State Technical University","3","3","Tashkent State Technical University:3"
"technische universitat braunschweig","Technische Universitat Braunschweig","3","3","Technische Universitat Braunschweig:3"
"gdansk university of technology","Gdansk University of Technology","3","3","Gdansk University of Technology:3"
"universidad del rosario","Universidad del Rosario","3","3","Universidad del Rosario:3"
"hec paris","HEC Paris","3","3","HEC Paris:3"
"german jordanian university","German Jordanian University","3","3","German Jordanian University:3"
"universidad del pais vasco","Universidad del Pais Vasco","3","3","Universidad del Pais Vasco:3"
"technological university of dublin","Technological University of Dublin","3","3","Technological University of Dublin:3"
"technische universitat dortmund","Technische Universitat Dortmund","3","3","Technische Universitat Dortmund:3"
"taylors university malaysia","Taylors University (Malaysia)","3","3","Taylors University (Malaysia):3"
"universidade catolica portuguesa ucp","Universidade Catolica Portuguesa, UCP","3","3","Universidade Catolica Portuguesa, UCP:3"
"universidade federal do rio de janeiro","Universidade Federal do Rio de Janeiro","3","3","Universidade Federal do Rio de Janeiro:3"
"universidad torcuato di tella","Universidad Torcuato Di Tella","3","3","Universidad Torcuato Di Tella:3"
"future university in egypt","Future University in Egypt","3","3","Future University in Egypt:3"
"universidad politecnica de madrid","Universidad Politecnica de Madrid","3","3","Universidad Politecnica de Madrid:3"
"gazi universitesi","Gazi Universitesi","3","3","Gazi Universitesi:3"
"universidad nacional de colombia","Universidad Nacional de Colombia","3","3","Universidad Nacional de Colombia:3"
"universidad iberoamericana uia","Universidad Iberoamericana (UIA)","3","3","Universidad Iberoamericana (UIA):3"
"universidad nacional autonoma de mexico unam","Universidad Nacional Autonoma de Mexico (UNAM)","3","3","Universidad Nacional Autonoma de Mexico (UNAM):3"
"universidad panamericana up","Universidad Panamericana (UP)","3","3","Universidad Panamericana (UP):3"
"universidad nacional mayor de san marcos","Universidad Nacional Mayor de San Marcos","3","3","Universidad Nacional Mayor de San Marcos:3"
"universidad nacional de la plata","Universidad Nacional de La Plata","3","3","Universidad Nacional de La Plata:3"
"universidad nacional de cordoba","Universidad Nacional de Cordoba","3","3","Universidad Nacional de Cordoba:3"
"universidade de vigo","Universidade de Vigo","3","3","Universidade de Vigo:3"
"universidade de santiago de compostela","Universidade de Santiago de Compostela","3","3","Universidade de Santiago de Compostela:3"
"technische universitat bergakademie freiberg","Technische Universitat Bergakademie Freiberg","3","3","Technische Universitat Bergakademie Freiberg:3"
"taras shevchenko national university of kyiv","Taras Shevchenko National University of Kyiv","3","3","Taras Shevchenko National University of Kyiv:3"
"tashkent institute of irrigation and agricultural mechanization engineers national research university tiiame nru","Tashkent Institute of Irrigation and Agricultural Mechanization Engineers - National Research University (TIIAME-NRU)","3","3","Tashkent Institute of Irrigation and Agricultural Mechanization Engineers - National Research University (TIIAME-NRU):3"
"georg august universitat gottingen","Georg-August-Universitat Gottingen","3","3","Georg-August-Universitat Gottingen:3"
"universidad europea de madrid","Universidad Europea de Madrid","3","3","Universidad Europea de Madrid:3"
"universidad externado de colombia","Universidad Externado de Colombia","3","3","Universidad Externado de Colombia:3"
