"UniversityNorm","CanonicalUniversity","VariantsCount","TotalRows","Variants"
"the catholic university of korea","The Catholic University of Korea","3","3","The Catholic University of Korea:3"
"tomsk state university","Tomsk State University","3","3","Tomsk State University:3"
"tomsk polytechnic university","Tomsk Polytechnic University","3","3","Tomsk Polytechnic University:3"
"tongji university","Tongji University","3","3","Tongji University:3"
"ton duc thang university","Ton Duc Thang University","3","3","Ton Duc Thang University:3"
"tokyo university of agriculture and technology","Tokyo University of Agriculture and Technology","3","3","Tokyo University of Agriculture and Technology:3"
"tokyo medical and dental university","Tokyo Medical and Dental University","3","3","Tokyo Medical and Dental University:3"
"tokyo university of science","Tokyo University of Science","3","3","Tokyo University of Science:3"
"tilburg university","Tilburg University","3","3","Tilburg University:3"
"hacettepe university","Hacettepe University","3","3","Hacettepe University:3"
"the new school new york city and paris","The New School, New York City and Paris","3","3","The New School, New York City and Paris:3"
"tuhh hamburg university of technology","TUHH Hamburg University of Technology","3","3","TUHH Hamburg University of Technology:3"
"gwangju institute of science and technology gist","Gwangju Institute of Science and Technology (GIST)","3","3","Gwangju Institute of Science and Technology (GIST):3"
"hamad bin khalifa university","Hamad Bin Khalifa University","3","3","Hamad Bin Khalifa University:3"
"trent university","Trent University","3","3","Trent University:3"
"the robert gordon university","The Robert Gordon University","3","3","The Robert Gordon University:3"
"tianjin university","Tianjin University","3","3","Tianjin University:3"
"texas christian university","Texas Christian University","3","3","Texas Christian University:3"
"goethe universitat frankfurt am main","Goethe Universitat Frankfurt am Main","3","3","Goethe Universitat Frankfurt am Main:3"
"universidad de san francisco de quito","Universidad de San Francisco de Quito","3","3","Universidad de San Francisco de Quito:3"
"universidad de palermo","Universidad de Palermo","3","3","Universidad de Palermo:3"
"universidad de montevideo","Universidad de Montevideo","3","3","Universidad de Montevideo:3"
"universidad de los andes chile","Universidad de los Andes Chile","3","3","Universidad de los Andes Chile:3"
"texas state university","Texas State University","3","3","Texas State University:3"
"universidad de oviedo","Universidad de Oviedo","3","3","Universidad de Oviedo:3"
"tecnologico de monterrey itesm","Tecnologico de Monterrey (ITESM)","3","3","Tecnologico de Monterrey (ITESM):3"
"universidad de valladolid","Universidad de Valladolid","3","3","Universidad de Valladolid:3"
"universidad de zaragoza","Universidad de Zaragoza","3","3","Universidad de Zaragoza:3"
"hebrew university of jerusalem","Hebrew University of Jerusalem","3","3","Hebrew University of Jerusalem:3"
"tennessee technological university","Tennessee Technological University","3","3","Tennessee Technological University:3"
"universidad de santiago de chile usach","Universidad de Santiago de Chile - USACH","3","3","Universidad de Santiago de Chile - USACH:3"
"universidad de sevilla","Universidad de Sevilla","3","3","Universidad de Sevilla:3"
"tel aviv university","Tel Aviv University","3","3","Tel Aviv University:3"
"universidad de buenos aires","Universidad de Buenos Aires","3","3","Universidad de Buenos Aires:3"
"universidad de belgrano","Universidad de Belgrano","3","3","Universidad de Belgrano:3"
"universidad de chile","Universidad de Chile","3","3","Universidad de Chile:3"
"hasselt university","Hasselt University","3","3","Hasselt University:3"
"the american university in cairo","The American University in Cairo","3","3","The American University in Cairo:3"
"universidad de alcala","Universidad de Alcala","3","3","Universidad de Alcala:3"
"universidad de antioquia","Universidad de Antioquia","3","3","Universidad de Antioquia:3"
"universidad de alicante","Universidad de Alicante","3","3","Universidad de Alicante:3"
"universidad de la habana","Universidad de la Habana","3","3","Universidad de la Habana:3"
"thammasat university","Thammasat University","3","3","Thammasat University:3"
"hanyang university","Hanyang University","3","3","Hanyang University:3"
"universidad de la republica udelar","Universidad de la Republica (UdelaR)","3","3","Universidad de la Republica (UdelaR):3"
"graz university of technology","Graz University of Technology","3","3","Graz University of Technology:3"
"universidad de concepcion","Universidad de Concepcion","3","3","Universidad de Concepcion:3"
"universidad de costa rica","Universidad de Costa Rica","3","3","Universidad de Costa Rica:3"
"universidad de cordoba espana","Universidad de Cordoba - Espana","3","3","Universidad de Cordoba - Espana:3"
"tallinn university of technology","Tallinn University of Technology","3","3","Tallinn University of Technology:3"
"julius maximilians universitat wurzburg","Julius-Maximilians-Universitat Wurzburg","3","3","Julius-Maximilians-Universitat Wurzburg:3"
"nantes university","Nantes University","3","3","Nantes University:3"
"jordan university of science and technology","Jordan University of Science & Technology","3","3","Jordan University of Science & Technology:3"
"nanjing normal university","Nanjing Normal University","3","3","Nanjing Normal University:3"
"nanjing university","Nanjing University","3","3","Nanjing University:3"
"nankai university","Nankai University","3","3","Nankai University:3"
"johannes kepler university linz","Johannes Kepler University Linz","3","3","Johannes Kepler University Linz:3"
"national chung cheng university","National Chung Cheng University","3","3","National Chung Cheng University:3"
"national chung hsing university","National Chung Hsing University","3","3","National Chung Hsing University:3"
"national and kapodistrian university of athens","National and Kapodistrian University of Athens","3","3","National and Kapodistrian University of Athens:3"
"national central university","National Central University","3","3","National Central University:3"
"national chengchi university","National Chengchi University","3","3","National Chengchi University:3"
"nanjing agricultural university","Nanjing Agricultural University","3","3","Nanjing Agricultural University:3"
"mississippi state university","Mississippi State University","3","3","Mississippi State University:3"
"kaohsiung medical university","Kaohsiung Medical University","3","3","Kaohsiung Medical University:3"
"montana state university","Montana State University","3","3","Montana State University:3"
"kasetsart university","Kasetsart University","3","3","Kasetsart University:3"
"middlesex university","Middlesex University","3","3","Middlesex University:3"
